OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.82549,0.9,0.544645,0.845098,0.73715,0.852941,0.401961,0.738831,0.821569,0.547059,0.656863,0.666906,0.656863,0.668627,0.747059
0.798039,0.880392,0.863257,0.813725,0.694637,0.880392,0.354902,0.69561,0.794118,0.503922,0.613725,0.616002,0.609804,0.617647,0.707843
0.770588,0.856863,0.839411,0.790196,0.654916,0.829412,0.347059,0.762332,0.766667,0.468627,0.562745,0.562455,0.566667,0.562745,0.668627
0.743137,0.837255,0.819754,0.762745,0.742537,0.872549,0.327451,0.734786,0.739216,0.441176,0.531373,0.534587,0.531373,0.535294,0.637255
0.719608,0.813725,0.799014,0.739216,0.718936,0.860784,0.315686,0.708849,0.711765,0.417647,0.492157,0.491822,0.496078,0.492157,0.605882
0.672549,0.770588,0.757482,0.692157,0.67281,0.805882,0.315686,0.659198,0.664706,0.386275,0.421569,0.549854,0.507843,0.421569,0.547059
0.652941,0.747059,0.739354,0.668627,0.65217,0.723529,0.64902,0.636399,0.641176,0.37451,0.562745,0.437797,0.413725,0.390196,0.523529
0.633333,0.719608,0.720511,0.64902,0.6327,0.707843,0.629412,0.614861,0.621569,0.366667,0.55098,0.416429,0.386275,0.366667,0.5
0.613725,0.696078,0.702588,0.62549,0.612546,0.754902,0.613725,0.593774,0.601961,0.362745,0.523529,0.389193,0.42549,0.339216,0.476471
0.598039,0.672549,0.686581,0.605882,0.596181,0.770588,0.594118,0.573928,0.582353,0.362745,0.5,0.365575,0.405882,0.315686,0.456863
0.578431,0.64902,0.669269,0.586275,0.577734,0.735294,0.578431,0.554628,0.562745,0.358824,0.484314,0.473518,0.382353,0.472549,0.437255
0.562745,0.62549,0.653305,0.570588,0.561515,0.62549,0.562745,0.536667,0.547059,0.358824,0.456863,0.457094,0.358824,0.456863,0.417647
0.547059,0.601961,0.637951,0.55098,0.547121,0.633333,0.547059,0.519282,0.531373,0.358824,0.441176,0.437713,0.343137,0.437255,0.398039
0.531373,0.582353,0.623604,0.535294,0.531034,0.613725,0.535294,0.502584,0.515686,0.354902,0.421569,0.407166,0.323529,0.405882,0.382353
0.696078,0.794118,0.77695,0.715686,0.695261,0.790196,0.315686,0.683391,0.688235,0.398039,0.456863,0.576976,0.488235,0.456863,0.578431
0.519608,0.558824,0.608975,0.515686,0.518394,0.64902,0.523529,0.486656,0.5,0.347059,0.401961,0.398275,0.303922,0.398039,0.366667
0.754902,0.813725,0.560718,0.805882,0.755118,0.809804,0.566667,0.732523,0.739216,0.641176,0.688235,0.688235,0.527451,0.688235,0.727451
0.723529,0.778431,0.508267,0.77451,0.725233,0.833333,0.586275,0.696574,0.703922,0.609804,0.641176,0.640181,0.480392,0.629412,0.707843
0.692157,0.747059,0.462072,0.747059,0.697047,0.778431,0.554902,0.664757,0.672549,0.586275,0.586275,0.586275,0.44902,0.586275,0.692157
0.668627,0.711765,0.421327,0.723529,0.669848,0.77451,0.543137,0.634931,0.64902,0.547059,0.547059,0.547059,0.429412,0.547059,0.680392
0.645098,0.684314,0.383798,0.696078,0.645917,0.75098,0.511765,0.607673,0.621569,0.515686,0.7,0.680018,0.42549,0.511765,0.676471
0.601961,0.62549,0.321039,0.656863,0.605669,0.703922,0.55098,0.559677,0.578431,0.582353,0.645098,0.655868,0.523529,0.664706,0.664706
0.586275,0.598039,0.293756,0.633333,0.588009,0.680392,0.562745,0.537384,0.558824,0.562745,0.62549,0.62912,0.496078,0.637255,0.652941
0.570588,0.566667,0.268906,0.617647,0.57234,0.664706,0.547059,0.519684,0.539216,0.558824,0.601961,0.607582,0.476471,0.613725,0.641176
