OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.9,0.856863,0.905898,0.903922,0.905898,0.907843,0.754902,0.906205,0.9,0.794118,0.837255,0.837255,0.903922,0.837255,0.896078
0.880392,0.82549,0.815005,0.884314,0.888065,0.892157,0.715686,0.886635,0.880392,0.758824,0.813725,0.813658,0.884314,0.805882,0.876471
0.864706,0.805882,0.784312,0.868627,0.869306,0.880392,0.676471,0.869143,0.864706,0.739216,0.786275,0.786275,0.868627,0.786275,0.856863
0.845098,0.77451,0.758893,0.84902,0.853651,0.856863,0.637255,0.854037,0.845098,0.715686,0.766667,0.766667,0.845098,0.766667,0.841176
0.833333,0.747059,0.733022,0.837255,0.837209,0.845098,0.601961,0.835115,0.833333,0.688235,0.723529,0.723529,0.837255,0.723529,0.821569
0.794118,0.696078,0.680839,0.798039,0.799869,0.798039,0.539216,0.802402,0.790196,0.641176,0.680392,0.688118,0.801961,0.676471,0.790196
0.77451,0.680392,0.654832,0.77451,0.783938,0.798039,0.511765,0.786603,0.77451,0.62549,0.656863,0.664588,0.786275,0.652941,0.770588
0.762745,0.645098,0.634256,0.762745,0.768328,0.782353,0.484314,0.771129,0.762745,0.601961,0.633333,0.641059,0.770588,0.629412,0.754902
0.747059,0.633333,0.611639,0.747059,0.752938,0.758824,0.464706,0.759344,0.747059,0.590196,0.609804,0.621409,0.754902,0.605882,0.739216
0.727451,0.598039,0.584308,0.743137,0.744376,0.743137,0.437255,0.741054,0.727451,0.582353,0.590196,0.597933,0.739216,0.586275,0.723529
0.711765,0.578431,0.563142,0.727451,0.727007,0.739216,0.417647,0.726308,0.711765,0.566667,0.570588,0.578301,0.723529,0.562745,0.707843
0.707843,0.558824,0.542624,0.707843,0.708656,0.727451,0.401961,0.711855,0.707843,0.547059,0.55098,0.558693,0.707843,0.543137,0.7
0.688235,0.535294,0.520468,0.7,0.698989,0.711765,0.382353,0.698155,0.688235,0.523529,0.531373,0.542978,0.696078,0.527451,0.684314
0.680392,0.527451,0.500844,0.680392,0.681134,0.7,0.362745,0.688741,0.668627,0.515686,0.511765,0.52337,0.680392,0.507843,0.672549
0.813725,0.719608,0.705588,0.817647,0.818893,0.821569,0.570588,0.818583,0.813725,0.668627,0.703922,0.711647,0.817647,0.7,0.805882
0.660784,0.503922,0.482127,0.672549,0.672096,0.688235,0.378431,0.6711,0.660784,0.507843,0.496078,0.503791,0.668627,0.488235,0.656863
0.794118,0.715686,0.684498,0.801961,0.799491,0.813725,0.554902,0.799044,0.790196,0.637255,0.727451,0.727451,0.798039,0.727451,0.778431
0.754902,0.668627,0.633573,0.766667,0.763179,0.786275,0.492157,0.760808,0.754902,0.590196,0.676471,0.676471,0.758824,0.676471,0.743137
0.723529,0.621569,0.579961,0.735294,0.731672,0.75098,0.44902,0.728999,0.723529,0.55098,0.637255,0.637255,0.727451,0.637255,0.707843
0.692157,0.578431,0.532868,0.703922,0.700123,0.719608,0.401961,0.697081,0.688235,0.511765,0.590196,0.590196,0.692157,0.590196,0.676471
0.660784,0.539216,0.49681,0.676471,0.670051,0.684314,0.358824,0.66888,0.660784,0.484314,0.562745,0.570057,0.668627,0.562745,0.645098
0.605882,0.468627,0.410955,0.621569,0.61131,0.641176,0.319608,0.607181,0.601961,0.433333,0.496078,0.495855,0.609804,0.492157,0.586275
0.582353,0.433333,0.36076,0.598039,0.587338,0.613725,0.323529,0.582977,0.578431,0.417647,0.464706,0.464482,0.582353,0.460784,0.562745
0.554902,0.401961,0.329092,0.566667,0.559665,0.586275,0.315686,0.5549,0.554902,0.401961,0.433333,0.444081,0.554902,0.429412,0.535294
0.535294,0.37451,0.273861,0.539216,0.5384,0.558824,0.3,0.536199,0.531373,0.401961,0.409804,0.40958,0.531373,0.405882,0.507843
0.511765,0.339216,0.174448,0.523529,0.512764,0.55098,0.307843,0.51034,0.511765,0.378431,0.382353,0.38944,0.507843,0.378431,0.484314
0.484314,0.319608,0.152941,0.503922,0.493723,0.531373,0.323529,0.488283,0.484314,0.366667,0.358824,0.366135,0.484314,0.358824,0.468627
0.472549,0.292157,0.140515,0.480392,0.472736,0.503922,0.656863,0.469973,0.468627,0.358824,0.335294,0.346042,0.464706,0.331373,0.445098
0.452941,0.264706,0.121569,0.456863,0.455553,0.480392,0.641176,0.450059,0.445098,0.370588,0.315686,0.322998,0.445098,0.315686,0.42549
0.433333,0.245098,0.109804,0.441176,0.433828,0.460784,0.62549,0.430721,0.429412,0.358824,0.303922,0.303429,0.42549,0.296078,0.409804
0.633333,0.5,0.449963,0.64902,0.638823,0.664706,0.35098,0.637418,0.633333,0.456863,0.527451,0.527227,0.637255,0.523529,0.613725
0.413725,0.233333,0.098039,0.42549,0.415476,0.445098,0.609804,0.412211,0.413725,0.358824,0.288235,0.288235,0.405882,0.288235,0.390196
0.841176,0.684314,0.838432,0.841176,0.838432,0.837255,0.64902,0.840319,0.837255,0.707843,0.75098,0.75098,0.841176,0.75098,0.833333
0.809804,0.621569,0.92549,0.809804,0.809624,0.817647,0.594118,0.811717,0.809804,0.676471,0.711765,0.711765,0.813725,0.711765,0.805882
0.782353,0.55098,0.913725,0.782353,0.781834,0.786275,0.547059,0.784107,0.782353,0.637255,0.676471,0.676322,0.782353,0.656863,0.778431
0.758824,0.503922,0.905882,0.758824,0.755075,0.766667,0.5,0.757481,0.754902,0.605882,0.629412,0.629412,0.758824,0.629412,0.75098
0.735294,0.464706,0.894118,0.735294,0.730787,0.731373,0.460784,0.733879,0.731373,0.57451,0.594118,0.594091,0.735294,0.590196,0.723529
0.684314,0.390196,0.870588,0.684314,0.680446,0.688235,0.386275,0.683048,0.684314,0.519608,0.531373,0.670214,0.688235,0.696078,0.680392
0.664706,0.358824,0.862745,0.660784,0.659174,0.668627,0.354902,0.660012,0.660784,0.492157,0.5,0.645425,0.664706,0.672549,0.656863
0.645098,0.327451,0.85098,0.645098,0.639603,0.641176,0.323529,0.640387,0.641176,0.472549,0.472549,0.624557,0.641176,0.652941,0.633333
0.617647,0.303922,0.839216,0.617647,0.613635,0.609804,0.3,0.613547,0.609804,0.44902,0.445098,0.601169,0.621569,0.629412,0.613725
0.598039,0.276471,0.831373,0.598039,0.600558,0.594118,0.311765,0.598297,0.598039,0.437255,0.421569,0.580159,0.598039,0.609804,0.594118
0.578431,0.252941,0.819608,0.578431,0.580927,0.578431,0.323529,0.578454,0.578431,0.413725,0.398039,0.559921,0.578431,0.590196,0.57451
0.558824,0.233333,0.811765,0.558824,0.561758,0.554902,0.296078,0.559065,0.558824,0.394118,0.37451,0.540466,0.558824,0.570588,0.554902
0.547059,0.213725,0.8,0.535294,0.540554,0.535294,0.288235,0.537663,0.535294,0.382353,0.354902,0.521022,0.543137,0.55098,0.539216
0.527451,0.198039,0.792157,0.527451,0.525808,0.519608,0.280392,0.519602,0.527451,0.378431,0.335294,0.503759,0.523529,0.535294,0.519608
0.707843,0.42549,0.882353,0.707843,0.706019,0.703922,0.421569,0.706999,0.707843,0.547059,0.562745,0.695003,0.711765,0.719608,0.7
0.511765,0.182353,0.780392,0.503922,0.50872,0.515686,0.284314,0.505383,0.503922,0.362745,0.315686,0.485117,0.503922,0.515686,0.507843
0.656863,0.911765,0.516381,0.762745,0.658006,0.805882,0.652941,0.611176,0.629412,0.7,0.252941,0.252941,0.17451,0.252941,0.7
0.62549,0.892157,0.477342,0.727451,0.627115,0.735294,0.617647,0.571963,0.594118,0.731373,0.229412,0.229412,0.135294,0.229412,0.64902
0.601961,0.872549,0.441909,0.703922,0.611223,0.598039,0.609804,0.536133,0.566667,0.696078,0.209804,0.209804,0.103922,0.209804,0.672549
0.586275,0.856863,0.419344,0.676471,0.584861,0.707843,0.586275,0.504589,0.539216,0.703922,0.182353,0.186114,0.080392,0.182353,0.660784
0.566667,0.841176,0.39419,0.64902,0.564973,0.562745,0.582353,0.480362,0.515686,0.672549,0.15098,0.15098,0.064706,0.15098,0.719608
0.531373,0.794118,0.354036,0.731373,0.532106,0.511765,0.668627,0.435483,0.488235,0.64902,0.096078,0.099839,0.037255,0.096078,0.664706
0.519608,0.778431,0.337101,0.711765,0.519499,0.480392,0.652941,0.427789,0.472549,0.633333,0.080392,0.080338,0.029412,0.076471,0.641176
0.507843,0.778431,0.321808,0.7,0.509522,0.452941,0.629412,0.409852,0.456863,0.617647,0.064706,0.064706,0.029412,0.064706,0.617647
0.5,0.747059,0.309139,0.684314,0.500939,0.456863,0.605882,0.394906,0.445098,0.641176,0.052941,0.052941,0.021569,0.052941,0.598039
0.484314,0.731373,0.298617,0.664706,0.486202,0.547059,0.586275,0.379482,0.433333,0.629412,0.041176,0.041176,0.017647,0.041176,0.578431
0.476471,0.715686,0.289511,0.64902,0.47676,0.476471,0.566667,0.366781,0.42549,0.617647,0.845098,0.783817,0.017647,0.845098,0.554902
0.464706,0.7,0.279249,0.629412,0.469799,0.476471,0.547059,0.357176,0.417647,0.605882,0.837255,0.781803,0.013725,0.837255,0.535294
0.460784,0.684314,0.282029,0.613725,0.46168,0.460784,0.527451,0.346688,0.405882,0.594118,0.82549,0.768871,0.017647,0.82549,0.515686
0.44902,0.672549,0.270486,0.598039,0.500029,0.468627,0.507843,0.33645,0.401961,0.586275,0.817647,0.76735,0.017647,0.817647,0.496078
0.55098,0.82549,0.372706,0.754902,0.549613,0.543137,0.55098,0.458702,0.507843,0.668627,0.119608,0.123369,0.045098,0.119608,0.692157
0.441176,0.656863,0.262987,0.582353,0.497202,0.441176,0.496078,0.327669,0.394118,0.578431,0.809804,0.75828,0.009804,0.809804,0.480392
0.672549,0.907843,0.586118,0.911765,0.903231,0.903922,0.645098,0.899916,0.641176,0.758824,0.852941,0.84981,0.766667,0.856863,0.829412
0.637255,0.892157,0.537798,0.896078,0.887818,0.888235,0.637255,0.883339,0.605882,0.723529,0.82549,0.828241,0.723529,0.833333,0.813725
0.609804,0.876471,0.496918,0.880392,0.873771,0.872549,0.617647,0.868046,0.570588,0.688235,0.801961,0.804532,0.688235,0.809804,0.798039
0.860784,0.860784,0.461578,0.864706,0.860646,0.860784,0.672549,0.85359,0.539216,0.664706,0.778431,0.780164,0.652941,0.786275,0.778431
0.84902,0.845098,0.430753,0.84902,0.848587,0.84902,0.645098,0.840135,0.515686,0.641176,0.754902,0.759961,0.617647,0.766667,0.758824
0.817647,0.813725,0.379824,0.817647,0.826245,0.817647,0.594118,0.814803,0.817647,0.660784,0.711765,0.716316,0.558824,0.723529,0.719608
0.805882,0.801961,0.359566,0.805882,0.815691,0.805882,0.57451,0.802642,0.805882,0.656863,0.692157,0.696765,0.531373,0.703922,0.703922
0.790196,0.786275,0.339017,0.790196,0.805973,0.790196,0.594118,0.791327,0.790196,0.645098,0.672549,0.680049,0.503922,0.688235,0.688235
0.778431,0.77451,0.319828,0.778431,0.796594,0.778431,0.601961,0.780293,0.778431,0.62549,0.64902,0.6652,0.476471,0.672549,0.672549
0.766667,0.762745,0.301898,0.766667,0.787501,0.766667,0.586275,0.769488,0.766667,0.613725,0.633333,0.640852,0.452941,0.64902,0.652941
0.75098,0.747059,0.286254,0.75098,0.779032,0.75098,0.586275,0.759323,0.75098,0.594118,0.617647,0.624354,0.429412,0.633333,0.637255
0.739216,0.735294,0.646602,0.739216,0.77062,0.739216,0.57451,0.749125,0.739216,0.578431,0.598039,0.606014,0.409804,0.613725,0.617647
0.727451,0.723529,0.642774,0.727451,0.763057,0.727451,0.562745,0.739868,0.727451,0.570588,0.582353,0.59283,0.390196,0.601961,0.609804
0.715686,0.711765,0.6347,0.715686,0.755479,0.715686,0.554902,0.730504,0.715686,0.554902,0.566667,0.577125,0.370588,0.586275,0.594118
0.833333,0.829412,0.40365,0.833333,0.837144,0.833333,0.617647,0.827229,0.829412,0.613725,0.735294,0.736738,0.586275,0.743137,0.739216
0.703922,0.7,0.626578,0.703922,0.748207,0.703922,0.539216,0.721433,0.703922,0.539216,0.55098,0.559071,0.35098,0.566667,0.578431
0.35098,0.064706,0.237145,0.601961,0.583793,0.652941,0.480392,0.223377,0.296078,0.472549,0.872549,0.627743,0.637255,0.880392,0.519608
0.543137,0.037255,0.201728,0.558824,0.548566,0.605882,0.417647,0.523546,0.284314,0.417647,0.84902,0.841183,0.582353,0.856863,0.476471
0.503922,0.021569,0.168518,0.523529,0.508592,0.558824,0.37451,0.489058,0.492157,0.382353,0.829412,0.817653,0.535294,0.829412,0.445098
0.468627,0.013725,0.139713,0.488235,0.473267,0.507843,0.35098,0.453703,0.456863,0.362745,0.813725,0.794127,0.5,0.813725,0.417647
0.437255,0.009804,0.109669,0.44902,0.439166,0.468627,0.735294,0.421838,0.42549,0.354902,0.778431,0.778437,0.456863,0.794118,0.394118
0.378431,0.005882,0.057268,0.386275,0.380165,0.398039,0.7,0.359928,0.366667,0.358824,0.747059,0.731384,0.394118,0.758824,0.35098
0.35098,0.005882,0.034841,0.358824,0.355332,0.37451,0.680392,0.332649,0.339216,0.358824,0.727451,0.707856,0.362745,0.739216,0.331373
0.331373,0.005882,0.015194,0.335294,0.332919,0.335294,0.668627,0.312645,0.319608,0.362745,0.707843,0.68825,0.339216,0.723529,0.311765
0.303922,0.005882,0.007505,0.307843,0.308157,0.311765,0.652941,0.285475,0.292157,0.362745,0.688235,0.668642,0.315686,0.703922,0.296078
0.284314,0.005882,0.003922,0.288235,0.289138,0.288235,0.633333,0.268994,0.276471,0.362745,0.672549,0.649033,0.292157,0.684314,0.280392
0.268627,0.005882,0.003922,0.268627,0.26898,0.264706,0.609804,0.250211,0.256863,0.362745,0.652941,0.633348,0.276471,0.668627,0.264706
0.24902,0.005882,0.24968,0.24902,0.24968,0.241176,0.601961,0.231025,0.241176,0.362745,0.637255,0.61374,0.256863,0.652941,0.252941
0.233333,0.005882,0.231875,0.229412,0.231875,0.221569,0.590196,0.217656,0.22549,0.358824,0.617647,0.598055,0.241176,0.637255,0.237255
0.217647,0.005882,0.649021,0.217647,0.21622,0.205882,0.578431,0.199185,0.213725,0.347059,0.601961,0.578447,0.229412,0.621569,0.22549
0.405882,0.005882,0.083385,0.417647,0.410449,0.433333,0.719608,0.390518,0.394118,0.354902,0.766667,0.750992,0.42549,0.778431,0.370588
0.201961,0.005882,0.620532,0.198039,0.200552,0.190196,0.562745,0.18779,0.198039,0.347059,0.586275,0.562761,0.209804,0.605882,0.213725
0.715686,0.986275,0.590434,0.813725,0.717408,0.939216,0.652941,0.673564,0.7,0.790196,0.9,0.898005,0.601961,0.9,0.758824
0.688235,0.982353,0.5524,0.782353,0.692778,0.927451,0.617647,0.645655,0.660784,0.790196,0.892157,0.891497,0.543137,0.892157,0.790196
0.664706,0.978431,0.512328,0.766667,0.664015,0.962745,0.637255,0.607577,0.62549,0.758824,0.876471,0.872657,0.492157,0.876471,0.786275
0.637255,0.978431,0.479079,0.743137,0.899592,0.9,0.641176,0.574605,0.598039,0.731373,0.860784,0.85505,0.445098,0.860784,0.809804
0.62549,0.97451,0.450256,0.715686,0.891418,0.888235,0.62549,0.887123,0.57451,0.786275,0.845098,0.840671,0.401961,0.845098,0.841176
0.582353,0.970588,0.422941,0.672549,0.876234,0.876471,0.601961,0.870515,0.547059,0.747059,0.821569,0.813753,0.327451,0.821569,0.821569
0.578431,0.966667,0.416264,0.652941,0.868995,0.868627,0.629412,0.862553,0.523529,0.727451,0.798039,0.792465,0.296078,0.798039,0.805882
0.566667,0.962745,0.398371,0.641176,0.862174,0.860784,0.605882,0.855218,0.511765,0.75098,0.794118,0.785068,0.268627,0.794118,0.794118
0.558824,0.958824,0.384213,0.621569,0.85704,0.852941,0.582353,0.849514,0.503922,0.743137,0.782353,0.779463,0.241176,0.782353,0.782353
0.539216,0.958824,0.368518,0.609804,0.850574,0.845098,0.558824,0.842293,0.488235,0.754902,0.766667,0.759332,0.217647,0.766667,0.770588
0.547059,0.954902,0.358104,0.966667,0.844404,0.833333,0.55098,0.835363,0.484314,0.739216,0.754902,0.747274,0.198039,0.754902,0.758824
0.531373,0.95098,0.351137,0.962745,0.838299,0.82549,0.75098,0.828465,0.472549,0.727451,0.747059,0.743343,0.178431,0.747059,0.747059
0.511765,0.947059,0.34087,0.958824,0.833787,0.813725,0.739216,0.823344,0.464706,0.711765,0.735294,0.731578,0.158824,0.735294,0.735294
0.527451,0.947059,0.330042,0.958824,0.827973,0.947059,0.727451,0.816708,0.460784,0.703922,0.723529,0.719813,0.147059,0.723529,0.77451
0.598039,0.970588,0.431477,0.7,0.883577,0.876471,0.605882,0.878612,0.558824,0.766667,0.829412,0.824424,0.362745,0.829412,0.833333
0.519608,0.943137,0.318703,0.954902,0.822191,0.896078,0.715686,0.810073,0.445098,0.696078,0.711765,0.707636,0.131373,0.711765,0.762745
0.860784,0.719608,0.862977,0.860784,0.862977,0.856863,0.464706,0.863667,0.860784,0.758824,0.727451,0.743125,0.668627,0.676471,0.860784
0.837255,0.672549,0.837935,0.837255,0.837935,0.833333,0.42549,0.84065,0.837255,0.723529,0.676471,0.696068,0.676471,0.62549,0.837255
0.813725,0.62549,0.599819,0.809804,0.813842,0.801961,0.507843,0.816877,0.809804,0.688235,0.656863,0.65685,0.570588,0.578431,0.813725
